time,open,high,low,close,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,NQ1! · CME: open,NQ1! · CME: high,NQ1! · CME: low,NQ1! · CME: close
2025-03-06T15:12:00-05:00,20318,20325.5,20295.75,20298.25,0,0,0,0,0,0,0,20112,20119.5,20089.75,20092.25
2025-03-06T15:13:00-05:00,20298.5,20317.5,20290.5,20314.75,0,0,0,0,0,0,0,20092.5,20111.5,20084.5,20108.75
2025-03-06T15:14:00-05:00,20314.25,20337.25,20306.5,20334.75,0,0,0,0,0,0,0,20108.25,20131.25,20100.5,20128.75
2025-03-06T15:15:00-05:00,20334.25,20356.25,20323.75,20334.75,0,0,0,0,0,0,0,20128.25,20150.25,20117.75,20128.75
2025-03-06T15:16:00-05:00,20335.5,20339,20301,20311,0,0,0,0,0,0,0,20129.5,20133,20095,20105
2025-03-06T15:17:00-05:00,20312.5,20323.75,20307.25,20320.75,0,0,0,0,0,0,0,20106.5,20117.75,20101.25,20114.75
2025-03-06T15:18:00-05:00,20321.5,20326,20301.25,20323,0,0,0,0,0,0,0,20115.5,20120,20095.25,20117
2025-03-06T15:19:00-05:00,20322.5,20332.75,20309.5,20330.5,0,0,0,0,0,0,0,20116.5,20126.75,20103.5,20124.5
2025-03-06T15:20:00-05:00,20330,20343.25,20308.75,20316,0,0,0,0,0,0,0,20124,20137.25,20102.75,20110
2025-03-06T15:21:00-05:00,20315,20319,20305.5,20308.5,0,0,0,0,0,0,0,20109,20113,20099.5,20102.5
2025-03-06T15:22:00-05:00,20308.75,20308.75,20266,20285.75,0,0,0,0,0,0,0,20102.75,20102.75,20060,20079.75
2025-03-06T15:23:00-05:00,20287,20290.5,20260.75,20261.5,0,0,0,0,0,0,0,20081,20084.5,20054.75,20055.5
2025-03-06T15:24:00-05:00,20262.75,20264.25,20240.25,20260,0,0,0,0,0,0,0,20056.75,20058.25,20034.25,20054
2025-03-06T15:25:00-05:00,20259.25,20277.25,20250.75,20276.25,0,0,0,0,0,0,0,20053.25,20071.25,20044.75,20070.25
2025-03-06T15:26:00-05:00,20275.5,20289.5,20261.5,20284.75,0,0,0,0,0,0,0,20069.5,20083.5,20055.5,20078.75
2025-03-06T15:27:00-05:00,20286,20297.5,20274,20296,0,0,0,0,0,0,0,20080,20091.5,20068,20090
2025-03-06T15:28:00-05:00,20297.25,20313,20291,20311.25,0,0,0,0,0,0,0,20091.25,20107,20085,20105.25
2025-03-06T15:29:00-05:00,20311.25,20321,20299.75,20311.75,0,0,0,0,0,0,0,20105.25,20115,20093.75,20105.75
2025-03-06T15:30:00-05:00,20311.75,20340,20303.75,20319,0,0,0,0,0,0,0,20105.75,20134,20097.75,20113
2025-03-06T15:31:00-05:00,20319.75,20330.25,20310,20325.75,0,0,0,0,0,0,0,20113.75,20124.25,20104,20119.75
2025-03-06T15:32:00-05:00,20324.75,20342.75,20320,20339.25,0,0,0,0,0,0,0,20118.75,20136.75,20114,20133.25
2025-03-06T15:33:00-05:00,20339,20361,20321,20322.75,0,0,0,0,0,0,0,20133,20155,20115,20116.75
2025-03-06T15:34:00-05:00,20323,20330.25,20301,20306,0,0,0,0,0,0,0,20117,20124.25,20095,20100
2025-03-06T15:35:00-05:00,20306,20321,20298.5,20314.5,0,0,0,0,0,0,0,20100,20115,20092.5,20108.5
2025-03-06T15:36:00-05:00,20317,20347,20312.25,20327.25,0,0,0,0,0,0,0,20111,20141,20106.25,20121.25
2025-03-06T15:37:00-05:00,20327.25,20340.5,20313,20313.25,0,0,0,0,0,0,0,20121.25,20134.5,20107,20107.25
2025-03-06T15:38:00-05:00,20313,20316.5,20301.25,20313,0,0,0,0,0,0,0,20107,20110.5,20095.25,20107
2025-03-06T15:39:00-05:00,20313,20314.75,20288.25,20293,0,0,0,0,0,0,0,20107,20108.75,20082.25,20087
2025-03-06T15:40:00-05:00,20291.75,20301.75,20281,20297.25,0,0,0,0,0,0,0,20085.75,20095.75,20075,20091.25
2025-03-06T15:41:00-05:00,20296.75,20299,20270.25,20288.5,0,0,0,0,0,0,0,20090.75,20093,20064.25,20082.5
2025-03-06T15:42:00-05:00,20288,20298.5,20256,20258.25,0,0,0,0,0,0,0,20082,20092.5,20050,20052.25
2025-03-06T15:43:00-05:00,20257.75,20281,20255,20275.25,0,0,0,0,0,0,0,20051.75,20075,20049,20069.25
2025-03-06T15:44:00-05:00,20276.25,20282.5,20252.75,20260,0,0,0,0,0,0,0,20070.25,20076.5,20046.75,20054
2025-03-06T15:45:00-05:00,20260.25,20277.75,20252.25,20275,0,0,0,0,0,0,0,20054.25,20071.75,20046.25,20069
2025-03-06T15:46:00-05:00,20274,20278.25,20246.25,20260.75,0,0,0,0,0,0,0,20068,20072.25,20040.25,20054.75
2025-03-06T15:47:00-05:00,20260.75,20271,20255,20267.75,0,0,0,0,0,0,0,20054.75,20065,20049,20061.75
2025-03-06T15:48:00-05:00,20267.75,20292,20266.75,20285.25,0,0,0,0,0,0,0,20061.75,20086,20060.75,20079.25
2025-03-06T15:49:00-05:00,20285.25,20301,20277,20298.75,0,0,0,0,0,0,0,20079.25,20095,20071,20092.75
2025-03-06T15:50:00-05:00,20299.5,20314.75,20275.75,20309.25,0,0,0,0,0,0,0,20093.5,20108.75,20069.75,20103.25
2025-03-06T15:51:00-05:00,20308.25,20323,20303.25,20307,0,0,0,0,0,0,0,20102.25,20117,20097.25,20101
2025-03-06T15:52:00-05:00,20305.75,20306,20284.5,20296.25,0,0,0,0,0,0,0,20099.75,20100,20078.5,20090.25
2025-03-06T15:53:00-05:00,20296.75,20300.5,20285.5,20298.25,0,0,0,0,0,0,0,20090.75,20094.5,20079.5,20092.25
2025-03-06T15:54:00-05:00,20298.25,20321.5,20294.75,20320.25,0,0,0,0,0,0,0,20092.25,20115.5,20088.75,20114.25
2025-03-06T15:55:00-05:00,20320.5,20327.25,20299.25,20321.75,0,0,0,0,0,0,0,20114.5,20121.25,20093.25,20115.75
2025-03-06T15:56:00-05:00,20322.25,20325,20300.25,20303,0,0,0,0,0,0,0,20116.25,20119,20094.25,20097
2025-03-06T15:57:00-05:00,20303.25,20305.25,20285.75,20297.5,0,0,0,0,0,0,0,20097.25,20099.25,20079.75,20091.5
2025-03-06T15:58:00-05:00,20296.75,20302.25,20289,20296.5,0,0,0,0,0,0,0,20090.75,20096.25,20083,20090.5
2025-03-06T15:59:00-05:00,20297,20301.75,20277.5,20297.75,0,0,0,0,0,0,0,20091,20095.75,20071.5,20091.75
2025-03-06T16:00:00-05:00,20300,20306,20281.25,20303.75,0,0,0,0,0,0,0,20094,20100,20075.25,20097.75
2025-03-06T16:01:00-05:00,20303.5,20313.25,20294.75,20297.5,0,0,0,0,0,0,0,20097.5,20107.25,20088.75,20091.5
2025-03-06T16:02:00-05:00,20297.25,20316.75,20296.75,20315.5,0,0,0,0,0,0,0,20091.25,20110.75,20090.75,20109.5
2025-03-06T16:03:00-05:00,20314.75,20335.5,20313,20333.5,0,0,0,0,0,0,0,20108.75,20129.5,20107,20127.5
2025-03-06T16:04:00-05:00,20333.75,20342,20331.75,20340.25,0,0,0,0,0,0,0,20127.75,20136,20125.75,20134.25
2025-03-06T16:05:00-05:00,20339.75,20345.25,20337.25,20344.75,0,0,0,0,0,0,0,20133.75,20139.25,20131.25,20138.75
2025-03-06T16:06:00-05:00,20343.75,20350.5,20335.5,20344.5,0,0,0,0,0,0,0,20137.75,20144.5,20129.5,20138.5
2025-03-06T16:07:00-05:00,20345,20346,20336.75,20337.75,0,0,0,0,0,0,0,20139,20140,20130.75,20131.75
2025-03-06T16:08:00-05:00,20337,20338.5,20323.75,20334.25,0,0,0,0,0,0,0,20131,20132.5,20117.75,20128.25
2025-03-06T16:09:00-05:00,20334.5,20340.5,20331.75,20336,0,0,0,0,0,0,0,20128.5,20134.5,20125.75,20130
2025-03-06T16:10:00-05:00,20337.25,20344.25,20333.75,20341,0,0,0,0,0,0,0,20131.25,20138.25,20127.75,20135
2025-03-06T16:11:00-05:00,20340.25,20343.5,20336.25,20343.25,0,0,0,0,0,0,0,20134.25,20137.5,20130.25,20137.25
2025-03-06T16:12:00-05:00,20343.75,20347,20334.75,20338.25,0,0,0,0,0,0,0,20137.75,20141,20128.75,20132.25
2025-03-06T16:13:00-05:00,20338,20338,20325.25,20325.5,0,0,0,0,0,0,0,20132,20132,20119.25,20119.5
2025-03-06T16:14:00-05:00,20325.25,20339.25,20325.25,20332.75,0,0,0,0,0,0,0,20119.25,20133.25,20119.25,20126.75
