rsymbol,recommendation,api_action,confidence,trend_strength,price,sma5,sma20,sma50,rsi,macd,stochastic_k,short_trend,medium_trend,long_trend,overall_trend,update,reasons
BBNI,STRONG_BUY,STRONG_BUY,90,67,4570,4556,4474.5,4378.8,52.46,59.68,78.38,BULLISH,BULLISH,BEARISH,BULLISH,2026-02-05,Short-term BULLISH | Medium-term BULLISH | OBV BULLISH | MACD bullish | OBV bullish
BDMN,STRONG_BUY,STRONG_BUY,90,67,2630,2578,2554.5,2511.8,52.94,20.46,71.79,BULLISH,BULLISH,BEARISH,BULLISH,2026-02-05,Short-term BULLISH | Medium-term BULLISH | OBV BULLISH | MACD bullish | OBV bullish
MARK,STRONG_BUY,STRONG_BUY,90,67,850,838,826.5,818.2,54.9,7.51,78.13,BULLISH,BULLISH,BEARISH,BULLISH,2026-02-05,Short-term BULLISH | Medium-term BULLISH | OBV BULLISH | MACD bullish | OBV bullish
MAPA,STRONG_BUY,STRONG_BUY,90,58,705,708,664,692.4,68.29,7.29,74.19,BULLISH,BULLISH,BEARISH,BULLISH,2026-02-05,Short-term BULLISH | Medium-term BULLISH | OBV BULLISH | MACD bullish | OBV bullish
CLAY,STRONG_BUY,STRONG_BUY,90,67,2850,2828,2633,2574.2,67.31,102.93,58.82,BULLISH,BULLISH,BEARISH,BULLISH,2026-02-05,Short-term BULLISH | Medium-term BULLISH | OBV BULLISH | MACD bullish | OBV bullish
EDGE,STRONG_BUY,STRONG_BUY,90,67,5000,4979,4641.75,4617.5,66.89,118.64,49.84,BULLISH,BULLISH,BEARISH,BULLISH,2026-02-05,Short-term BULLISH | Medium-term BULLISH | OBV BULLISH | MACD bullish | OBV bullish
AADI,STRONG_BUY,STRONG_BUY,90,67,8200,8075,7745,7476,61.11,199.9,70.73,BULLISH,BULLISH,BEARISH,BULLISH,2026-02-05,Short-term BULLISH | Medium-term BULLISH | OBV BULLISH | MACD bullish | OBV bullish
MSJA,STRONG_BUY,STRONG_BUY,90,67,390,378,355.9,351.8,62.63,10.41,64.29,BULLISH,BULLISH,BEARISH,BULLISH,2026-02-05,Short-term BULLISH | Medium-term BULLISH | OBV BULLISH | MACD bullish | OBV bullish
ADES,BUY,BUY,80,58,15325,15285,15262.5,15347.5,54.72,4.37,83.87,BULLISH,BULLISH,BEARISH,BULLISH,2026-02-05,Short-term BULLISH | Medium-term BULLISH | Stochastic OVERBOUGHT (K=84) | OBV BULLISH | MACD bullish
BBRI,BUY,BUY,80,67,3850,3832,3786,3750,52.05,22.6,86.15,BULLISH,BULLISH,BEARISH,BULLISH,2026-02-05,Short-term BULLISH | Medium-term BULLISH | Stochastic OVERBOUGHT (K=86) | OBV BULLISH | MACD bullish
BNGA,BUY,BUY,80,67,1875,1837,1828,1791.4,60,16.7,81.82,BULLISH,BULLISH,BEARISH,BULLISH,2026-02-05,Short-term BULLISH | Medium-term BULLISH | Stochastic OVERBOUGHT (K=82) | OBV BULLISH | MACD bullish
GGRM,BUY,BUY,80,67,16775,16185,15710,14783,65.74,465.35,88.51,BULLISH,BULLISH,BEARISH,BULLISH,2026-02-05,Short-term BULLISH | Medium-term BULLISH | Stochastic OVERBOUGHT (K=89) | OBV BULLISH | MACD bullish
